family,calibration_samples,group_q,q_used,shrinkage,split_name,seed,method,conformal_variant,test_samples,coverage,avg_width,precision,recall,f1,false_alarm_rate,missed_violations
feeder=69|pv_bin=0.8|load_bin=low_load,552,0.00021959855136273752,0.00022159727439216687,True,synthetic_time_block,7,VoltGuard topology-aware residual,topology_pv_loading_conditioned,483,0.9751552795031055,0.0004431945487843798,0.9333333333333333,1.0,0.9655172413793104,0.004395604395604396,0
feeder=33|pv_bin=0.2|load_bin=high_load,330,0.000320185138801676,0.000320185138801676,False,synthetic_time_block,7,VoltGuard topology-aware residual,topology_pv_loading_no_shrinkage,363,0.9614325068870524,0.0006403702776034408,0.9951923076923077,1.0,0.9975903614457832,0.00641025641025641,0
feeder=33|pv_bin=0.2|load_bin=low_load,297,6.62136099148683e-05,6.62136099148683e-05,False,synthetic_time_block,7,VoltGuard topology-aware residual,topology_pv_loading_no_shrinkage,198,0.6161616161616161,0.00013242721982975267,1.0,1.0,1.0,0.0,0
feeder=33|pv_bin=0.4|load_bin=high_load,198,0.0002854661574324932,0.0002854661574324932,False,synthetic_time_block,7,VoltGuard topology-aware residual,topology_pv_loading_no_shrinkage,297,0.9326599326599326,0.0005709323148650466,1.0,1.0,1.0,0.0,0
feeder=33|pv_bin=0.4|load_bin=low_load,198,0.00014056348274023428,0.00014056348274023428,False,synthetic_time_block,7,VoltGuard topology-aware residual,topology_pv_loading_no_shrinkage,132,0.7878787878787878,0.0002811269654805493,0.0,0.0,0.0,0.007575757575757576,0
feeder=33|pv_bin=0.6|load_bin=high_load,297,0.00042270023372121965,0.00042270023372121965,False,synthetic_time_block,7,VoltGuard topology-aware residual,topology_pv_loading_no_shrinkage,264,0.9696969696969697,0.0008454004674425232,0.9692307692307692,1.0,0.984375,0.009950248756218905,0
feeder=33|pv_bin=0.6|load_bin=low_load,231,0.00014007490341907296,0.00014007490341907296,False,synthetic_time_block,7,VoltGuard topology-aware residual,topology_pv_loading_no_shrinkage,198,0.9393939393939394,0.0002801498068381048,0.7777777777777778,1.0,0.875,0.010471204188481676,0
feeder=33|pv_bin=0.8|load_bin=high_load,264,0.0008267679158561087,0.0008267679158561087,False,synthetic_time_block,7,VoltGuard topology-aware residual,topology_pv_loading_no_shrinkage,330,0.9757575757575757,0.0016535358317122347,0.9318181818181818,1.0,0.9647058823529412,0.010380622837370242,0
feeder=33|pv_bin=0.8|load_bin=low_load,165,0.00040859369329006935,0.00040859369329006935,False,synthetic_time_block,7,VoltGuard topology-aware residual,topology_pv_loading_no_shrinkage,198,0.8939393939393939,0.0008171873865801016,1.0,0.6666666666666666,0.8,0.0,1
feeder=69|pv_bin=0.2|load_bin=high_load,552,0.00010013209453720209,0.00010013209453720209,False,synthetic_time_block,7,VoltGuard topology-aware residual,topology_pv_loading_no_shrinkage,690,0.9028985507246376,0.00020026418907438198,1.0,1.0,1.0,0.0,0
feeder=69|pv_bin=0.2|load_bin=low_load,828,7.127611191714276e-05,7.127611191714276e-05,False,synthetic_time_block,7,VoltGuard topology-aware residual,topology_pv_loading_no_shrinkage,345,0.9507246376811594,0.0001425522238342986,1.0,1.0,1.0,0.0,0
feeder=69|pv_bin=0.4|load_bin=high_load,345,0.0002204958592289718,0.0002204958592289718,False,synthetic_time_block,7,VoltGuard topology-aware residual,topology_pv_loading_no_shrinkage,414,0.7946859903381642,0.0004409917184579937,1.0,1.0,1.0,0.0,0
feeder=69|pv_bin=0.4|load_bin=low_load,552,0.00012761538752054943,0.00012761538752054943,False,synthetic_time_block,7,VoltGuard topology-aware residual,topology_pv_loading_no_shrinkage,414,0.8985507246376812,0.00025523077504116976,0.9761904761904762,1.0,0.9879518072289156,0.002680965147453083,0
feeder=69|pv_bin=0.6|load_bin=high_load,276,0.0002471993521263658,0.0002471993521263658,False,synthetic_time_block,7,VoltGuard topology-aware residual,topology_pv_loading_no_shrinkage,276,0.8333333333333334,0.0004943987042527521,1.0,1.0,1.0,0.0,0
feeder=69|pv_bin=0.6|load_bin=low_load,828,0.000174864616878142,0.000174864616878142,False,synthetic_time_block,7,VoltGuard topology-aware residual,topology_pv_loading_no_shrinkage,759,0.8919631093544137,0.0003497292337562423,1.0,1.0,1.0,0.0,0
feeder=69|pv_bin=0.8|load_bin=high_load,207,0.0005293239034578265,0.0005293239034578265,False,synthetic_time_block,7,VoltGuard topology-aware residual,topology_pv_loading_no_shrinkage,759,0.9670619235836627,0.00105864780691566,1.0,1.0,1.0,0.0,0
feeder=69|pv_bin=0.8|load_bin=low_load,552,0.00021959855136273752,0.00021959855136273752,False,synthetic_time_block,7,VoltGuard topology-aware residual,topology_pv_loading_no_shrinkage,483,0.9751552795031055,0.00043919710272550703,0.9333333333333333,1.0,0.9655172413793104,0.004395604395604396,0
__global__,8265,0.0006292652148080052,0.0006292652148080052,True,pv_penetration_shift,7,Boosting point + global conformal,global,6876,0.797847585805701,0.0012585304296160275,0.9772296015180265,0.9961315280464217,0.9865900383141762,0.0018870891649630445,2
