method,variant,calibration_fraction,repeat,calibration_scenarios,calibration_bus_samples,global_q,families_total_test,families_observed_calib,empty_test_families,min_family_bus_samples,min_family_scenario_samples,median_family_scenario_samples,mae,rmse,max_abs_error,coverage,avg_width,precision,recall,f1,false_alarm_rate,missed_violations,scenario_precision,scenario_recall,scenario_f1,scenario_false_alarm_rate,missed_risky_scenarios,test_scenarios
Boosting point + global conformal,global,0.5,2,60,2952,0.0005288569954863353,1,1,0,2952,60,60.0,0.0002871706248397735,0.0004145545321376289,0.00587799314880133,0.9019607843137255,0.0010577139909726727,0.986021505376344,0.995656894679696,0.990815775256618,0.002500480861704174,4,0.9893617021276596,1.0,0.9946524064171123,0.037037037037037035,0,120
Boosting point + global conformal,global,0.5,3,60,3132,0.0005580438912353384,1,1,0,3132,60,60.0,0.0002871706248397735,0.0004145545321376289,0.00587799314880133,0.9116013071895425,0.001116087782470735,0.9860365198711063,0.996742671009772,0.9913606911447084,0.002500480861704174,3,0.9893617021276596,1.0,0.9946524064171123,0.037037037037037035,0,120
Boosting point + global conformal,global,0.5,4,60,3132,0.0005978619640851938,1,1,0,3132,60,60.0,0.0002871706248397735,0.0004145545321376289,0.00587799314880133,0.9217320261437908,0.0011957239281703638,0.9850107066381156,0.998914223669924,0.9919137466307277,0.0026928255433737256,1,0.9893617021276596,1.0,0.9946524064171123,0.037037037037037035,0,120
Boosting point + global conformal,global,0.5,5,60,3096,0.0005142149556873681,1,1,0,3096,60,60.0,0.0002871706248397735,0.0004145545321376289,0.00587799314880133,0.8959150326797386,0.0010284299113747432,0.986021505376344,0.995656894679696,0.990815775256618,0.002500480861704174,4,0.9893617021276596,1.0,0.9946524064171123,0.037037037037037035,0,120
Boosting point + global conformal,global,0.5,6,60,2880,0.0005765373885557372,1,1,0,2880,60,60.0,0.0002871706248397735,0.0004145545321376289,0.00587799314880133,0.9169934640522875,0.0011530747771115654,0.9860664523043944,0.998914223669924,0.9924487594390508,0.002500480861704174,1,0.9893617021276596,1.0,0.9946524064171123,0.037037037037037035,0,120
Boosting point + global conformal,global,0.5,7,60,3132,0.0005410051675987426,1,1,0,3132,60,60.0,0.0002871706248397735,0.0004145545321376289,0.00587799314880133,0.9062091503267974,0.0010820103351973996,0.9860365198711063,0.996742671009772,0.9913606911447084,0.002500480861704174,3,0.9893617021276596,1.0,0.9946524064171123,0.037037037037037035,0,120
Boosting point + global conformal,global,0.5,8,60,3132,0.000515320755026455,1,1,0,3132,60,60.0,0.0002871706248397735,0.0004145545321376289,0.00587799314880133,0.8962418300653595,0.0010306415100529236,0.986021505376344,0.995656894679696,0.990815775256618,0.002500480861704174,4,0.9893617021276596,1.0,0.9946524064171123,0.037037037037037035,0,120
Boosting point + global conformal,global,0.5,9,60,3132,0.0005391717995026821,1,1,0,3132,60,60.0,0.0002871706248397735,0.0004145545321376289,0.00587799314880133,0.9055555555555556,0.0010783435990053749,0.9860365198711063,0.996742671009772,0.9913606911447084,0.002500480861704174,3,0.9893617021276596,1.0,0.9946524064171123,0.037037037037037035,0,120
Boosting point + global conformal,global,0.5,10,60,3132,0.0005383091910190927,1,1,0,3132,60,60.0,0.0002871706248397735,0.0004145545321376289,0.00587799314880133,0.9053921568627451,0.0010766183820381167,0.9860365198711063,0.996742671009772,0.9913606911447084,0.002500480861704174,3,0.9893617021276596,1.0,0.9946524064171123,0.037037037037037035,0,120
Boosting point + global conformal,global,0.5,11,60,2988,0.0004994823515306289,1,1,0,2988,60,60.0,0.0002871706248397735,0.0004145545321376289,0.00587799314880133,0.890032679738562,0.0009989647030612474,0.9913419913419913,0.99457111834962,0.9929539295392954,0.0015387574533564147,5,0.9893617021276596,1.0,0.9946524064171123,0.037037037037037035,0,120
Boosting point + global conformal,global,0.5,12,60,3276,0.0005644310103045209,1,1,0,3276,60,60.0,0.0002871706248397735,0.0004145545321376289,0.00587799314880133,0.9140522875816993,0.0011288620206091262,0.9860664523043944,0.998914223669924,0.9924487594390508,0.002500480861704174,1,0.9893617021276596,1.0,0.9946524064171123,0.037037037037037035,0,120
Boosting point + global conformal,global,0.5,13,60,3204,0.0004991701544591435,1,1,0,3204,60,60.0,0.0002871706248397735,0.0004145545321376289,0.00587799314880133,0.890032679738562,0.0009983403089182303,0.9913419913419913,0.99457111834962,0.9929539295392954,0.0015387574533564147,5,0.9893617021276596,1.0,0.9946524064171123,0.037037037037037035,0,120
Boosting point + global conformal,global,0.5,14,60,3096,0.0005775752319713304,1,1,0,3096,60,60.0,0.0002871706248397735,0.0004145545321376289,0.00587799314880133,0.917156862745098,0.0011551504639426755,0.9860664523043944,0.998914223669924,0.9924487594390508,0.002500480861704174,1,0.9893617021276596,1.0,0.9946524064171123,0.037037037037037035,0,120
Boosting point + global conformal,global,0.5,15,60,3024,0.0005511557972196271,1,1,0,3024,60,60.0,0.0002871706248397735,0.0004145545321376289,0.00587799314880133,0.9094771241830065,0.0011023115944392783,0.9860365198711063,0.996742671009772,0.9913606911447084,0.002500480861704174,3,0.9893617021276596,1.0,0.9946524064171123,0.037037037037037035,0,120
Boosting point + global conformal,global,0.5,16,60,3096,0.0005471412912867708,1,1,0,3096,60,60.0,0.0002871706248397735,0.0004145545321376289,0.00587799314880133,0.9083333333333333,0.001094282582573499,0.9860365198711063,0.996742671009772,0.9913606911447084,0.002500480861704174,3,0.9893617021276596,1.0,0.9946524064171123,0.037037037037037035,0,120
Boosting point + global conformal,global,0.5,17,60,3168,0.0005112792370619465,1,1,0,3168,60,60.0,0.0002871706248397735,0.0004145545321376289,0.00587799314880133,0.8949346405228759,0.001022558474123894,0.9913419913419913,0.99457111834962,0.9929539295392954,0.0015387574533564147,5,0.9893617021276596,1.0,0.9946524064171123,0.037037037037037035,0,120
Boosting point + global conformal,global,0.5,18,60,2916,0.0005926083254552329,1,1,0,2916,60,60.0,0.0002871706248397735,0.0004145545321376289,0.00587799314880133,0.9204248366013071,0.0011852166509105286,0.9860664523043944,0.998914223669924,0.9924487594390508,0.002500480861704174,1,0.9893617021276596,1.0,0.9946524064171123,0.037037037037037035,0,120
Boosting point + global conformal,global,0.5,19,60,2988,0.0005601605434714464,1,1,0,2988,60,60.0,0.0002871706248397735,0.0004145545321376289,0.00587799314880133,0.9122549019607843,0.0011203210869428412,0.9860664523043944,0.998914223669924,0.9924487594390508,0.002500480861704174,1,0.9893617021276596,1.0,0.9946524064171123,0.037037037037037035,0,120
Boosting point + global conformal,global,0.75,0,90,4590,0.0005439482403442939,1,1,0,4590,90,90.0,0.0002871706248397735,0.0004145545321376289,0.00587799314880133,0.9071895424836601,0.001087896480688613,0.9860365198711063,0.996742671009772,0.9913606911447084,0.002500480861704174,3,0.9893617021276596,1.0,0.9946524064171123,0.037037037037037035,0,120
Boosting point + global conformal,global,0.75,1,90,4626,0.0005789252094586891,1,1,0,4626,90,90.0,0.0002871706248397735,0.0004145545321376289,0.00587799314880133,0.9174836601307189,0.001157850418917381,0.9860664523043944,0.998914223669924,0.9924487594390508,0.002500480861704174,1,0.9893617021276596,1.0,0.9946524064171123,0.037037037037037035,0,120
Boosting point + global conformal,global,0.75,2,90,4626,0.0005335733568331511,1,1,0,4626,90,90.0,0.0002871706248397735,0.0004145545321376289,0.00587799314880133,0.9032679738562092,0.0010671467136662758,0.9860365198711063,0.996742671009772,0.9913606911447084,0.002500480861704174,3,0.9893617021276596,1.0,0.9946524064171123,0.037037037037037035,0,120
Boosting point + global conformal,global,0.75,3,90,4662,0.0005406772909390116,1,1,0,4662,90,90.0,0.0002871706248397735,0.0004145545321376289,0.00587799314880133,0.9062091503267974,0.0010813545818779888,0.9860365198711063,0.996742671009772,0.9913606911447084,0.002500480861704174,3,0.9893617021276596,1.0,0.9946524064171123,0.037037037037037035,0,120
Boosting point + global conformal,global,0.75,4,90,4554,0.0005666365762995218,1,1,0,4554,90,90.0,0.0002871706248397735,0.0004145545321376289,0.00587799314880133,0.9150326797385621,0.0011332731525990423,0.9860664523043944,0.998914223669924,0.9924487594390508,0.002500480861704174,1,0.9893617021276596,1.0,0.9946524064171123,0.037037037037037035,0,120
Boosting point + global conformal,global,0.75,5,90,4626,0.0005380374976054094,1,1,0,4626,90,90.0,0.0002871706248397735,0.0004145545321376289,0.00587799314880133,0.9050653594771242,0.0010760749952107927,0.9860365198711063,0.996742671009772,0.9913606911447084,0.002500480861704174,3,0.9893617021276596,1.0,0.9946524064171123,0.037037037037037035,0,120
Boosting point + global conformal,global,0.75,6,90,4518,0.0005667590180418246,1,1,0,4518,90,90.0,0.0002871706248397735,0.0004145545321376289,0.00587799314880133,0.9150326797385621,0.0011335180360836437,0.9860664523043944,0.998914223669924,0.9924487594390508,0.002500480861704174,1,0.9893617021276596,1.0,0.9946524064171123,0.037037037037037035,0,120
Boosting point + global conformal,global,0.75,7,90,4698,0.0005611528247141564,1,1,0,4698,90,90.0,0.0002871706248397735,0.0004145545321376289,0.00587799314880133,0.9127450980392157,0.0011223056494282988,0.9860664523043944,0.998914223669924,0.9924487594390508,0.002500480861704174,1,0.9893617021276596,1.0,0.9946524064171123,0.037037037037037035,0,120
Boosting point + global conformal,global,0.75,8,90,4518,0.0005551248892033972,1,1,0,4518,90,90.0,0.0002871706248397735,0.0004145545321376289,0.00587799314880133,0.9104575163398693,0.0011102497784068108,0.9860365198711063,0.996742671009772,0.9913606911447084,0.002500480861704174,3,0.9893617021276596,1.0,0.9946524064171123,0.037037037037037035,0,120
Boosting point + global conformal,global,0.75,9,90,4590,0.0005508450132034774,1,1,0,4590,90,90.0,0.0002871706248397735,0.0004145545321376289,0.00587799314880133,0.9094771241830065,0.0011016900264069283,0.9860365198711063,0.996742671009772,0.9913606911447084,0.002500480861704174,3,0.9893617021276596,1.0,0.9946524064171123,0.037037037037037035,0,120
Boosting point + global conformal,global,0.75,10,90,4734,0.0005626820524332579,1,1,0,4734,90,90.0,0.0002871706248397735,0.0004145545321376289,0.00587799314880133,0.913562091503268,0.0011253641048665022,0.9860664523043944,0.998914223669924,0.9924487594390508,0.002500480861704174,1,0.9893617021276596,1.0,0.9946524064171123,0.037037037037037035,0,120
Boosting point + global conformal,global,0.75,11,90,4482,0.000533063464677372,1,1,0,4482,90,90.0,0.0002871706248397735,0.0004145545321376289,0.00587799314880133,0.9032679738562092,0.0010661269293548083,0.9860365198711063,0.996742671009772,0.9913606911447084,0.002500480861704174,3,0.9893617021276596,1.0,0.9946524064171123,0.037037037037037035,0,120
Boosting point + global conformal,global,0.75,12,90,4662,0.0005494114624250334,1,1,0,4662,90,90.0,0.0002871706248397735,0.0004145545321376289,0.00587799314880133,0.9088235294117647,0.001098822924850065,0.9860365198711063,0.996742671009772,0.9913606911447084,0.002500480861704174,3,0.9893617021276596,1.0,0.9946524064171123,0.037037037037037035,0,120
Boosting point + global conformal,global,0.75,13,90,4662,0.000547110331196214,1,1,0,4662,90,90.0,0.0002871706248397735,0.0004145545321376289,0.00587799314880133,0.9083333333333333,0.0010942206623925012,0.9860365198711063,0.996742671009772,0.9913606911447084,0.002500480861704174,3,0.9893617021276596,1.0,0.9946524064171123,0.037037037037037035,0,120
Boosting point + global conformal,global,0.75,14,90,4662,0.0005487090386192783,1,1,0,4662,90,90.0,0.0002871706248397735,0.0004145545321376289,0.00587799314880133,0.9086601307189542,0.0010974180772385298,0.9860365198711063,0.996742671009772,0.9913606911447084,0.002500480861704174,3,0.9893617021276596,1.0,0.9946524064171123,0.037037037037037035,0,120
Boosting point + global conformal,global,0.75,15,90,4662,0.000516216424160381,1,1,0,4662,90,90.0,0.0002871706248397735,0.0004145545321376289,0.00587799314880133,0.8967320261437909,0.001032432848320671,0.986021505376344,0.995656894679696,0.990815775256618,0.002500480861704174,4,0.9893617021276596,1.0,0.9946524064171123,0.037037037037037035,0,120
