feeder,scenario_id,load_relief,pv_curtail,predicted_risk_buses,predicted_interval_severity,predicted_mean_width,ldf_point_severity
33,104,0.2,0.1,0,0.0,0.0005274910307726532,0.0
33,104,0.2,0.2,0,0.0,0.0005274910307726532,0.0
33,105,0.0,0.0,0,0.0,0.0007851903743807398,0.0
33,105,0.0,0.1,0,0.0,0.0005274910307726566,0.0
33,105,0.0,0.2,0,0.0,0.0005274910307726532,0.0
33,105,0.1,0.0,0,0.0,0.0007851903743807398,0.0
33,105,0.1,0.1,0,0.0,0.0005274910307726768,0.0
33,105,0.1,0.2,0,0.0,0.0005274910307726566,0.0
33,105,0.2,0.0,0,0.0,0.0007851903743807398,0.0
33,105,0.2,0.1,0,0.0,0.0005274910307727206,0.0
33,105,0.2,0.2,0,0.0,0.0005274910307726768,0.0
33,112,0.0,0.0,14,0.01975363976124833,0.0007579145766942775,0.017325439786268215
33,112,0.0,0.1,14,0.021369113372078363,0.0005274910307726566,0.01899985915777913
33,112,0.0,0.2,15,0.023112777518035532,0.0005274910307726566,0.020677295431456688
33,112,0.1,0.0,9,0.01039621381164213,0.00040027599572001193,0.008716713861053882
33,112,0.1,0.1,9,0.012276103333536459,0.0005274910307726566,0.010375792274970097
33,112,0.1,0.2,12,0.014101328871084395,0.0005274910307726566,0.012037805281445713
33,112,0.2,0.0,2,0.001465232541118855,0.00040027599572001193,0.00018601070568113887
33,112,0.2,0.1,4,0.003233731221629399,0.0005274910307726566,0.001830162240147315
33,112,0.2,0.2,5,0.004905464026023987,0.0005274910307726566,0.0034771697333960683
33,116,0.0,0.0,14,0.01872543959380868,0.00040027599572001193,0.016631407881824933
33,116,0.0,0.1,15,0.01979083493205469,0.0005274910307726566,0.01762793769620763
33,116,0.0,0.2,15,0.020813814671079456,0.0005274910307726566,0.01862553375315812
33,116,0.1,0.0,5,0.010359988915657925,0.00040027599572001193,0.008767562147672492
33,116,0.1,0.1,7,0.011484282937003987,0.0005274910307726566,0.009755757328236525
33,116,0.1,0.2,10,0.012558899043254468,0.0005274910307726566,0.010744992193621239
33,116,0.2,0.0,3,0.0022375961765848107,0.00040027599572001193,0.0009688754428515134
33,116,0.2,0.1,3,0.003324913669676799,0.0005274910307726566,0.001948941675518956
33,116,0.2,0.2,4,0.004338823209266485,0.0005274910307726566,0.002930022119732034
33,122,0.0,0.0,21,0.04736745254622288,0.0006887679490457099,0.0432789401557957
33,122,0.0,0.1,21,0.04898746912625129,0.0005274910307726532,0.044860346820450814
33,122,0.0,0.2,21,0.050619630359805434,0.0005274910307726532,0.0464445212655773
33,122,0.1,0.0,19,0.035253130734416604,0.0006887679490457066,0.031961841242151956
33,122,0.1,0.1,20,0.036850749198649835,0.0005274910307726566,0.03352371971310841
33,122,0.1,0.2,20,0.03848289849981934,0.0005274910307726566,0.03508826451865066
33,122,0.2,0.0,16,0.023329398159893322,0.0006887679490457066,0.02078256500106368
33,122,0.2,0.1,16,0.02483802048885486,0.0005274910307726566,0.022325621298615372
33,122,0.2,0.2,16,0.026460466228340085,0.0005274910307726566,0.023871248533986367
33,124,0.0,0.0,20,0.04000822231087864,0.0007579145766942775,0.03617511441454824
33,124,0.0,0.1,20,0.04169220510720539,0.0005274910307726532,0.037900343053921204
33,124,0.0,0.2,21,0.0435010780286571,0.0005274910307726566,0.039628841138382276
33,124,0.1,0.0,15,0.02837419768740823,0.0007579145766942775,0.02549014787410353
33,124,0.1,0.1,16,0.030123618342661307,0.0005274910307726532,0.02719540022617062
33,124,0.1,0.2,17,0.03200429001173155,0.0005274910307726566,0.028903809556446003
33,124,0.2,0.0,5,0.017274482005584013,0.0007579145766942775,0.014927269224243589
33,124,0.2,0.1,9,0.018948998938768447,0.0005274910307726566,0.0166132235100388
33,124,0.2,0.2,12,0.020668372704589655,0.0005274910307726532,0.018302228610473037
33,128,0.0,0.0,0,0.0,0.00040027599572001193,0.0
33,128,0.0,0.1,3,0.001683849602418297,0.0005274910307726566,0.00027871385901889756
33,128,0.0,0.2,3,0.0034640620597556904,0.0005274910307726566,0.001987599395426032
33,128,0.1,0.0,0,0.0,0.00040027599572001193,0.0
33,128,0.1,0.1,0,0.0,0.0005274910307726566,0.0
33,128,0.1,0.2,0,0.0,0.0005274910307726566,0.0
33,128,0.2,0.0,0,0.0,0.0004002759957200086,0.0
33,128,0.2,0.1,0,0.0,0.0005274910307726532,0.0
33,128,0.2,0.2,0,0.0,0.0005274910307726532,0.0
33,131,0.0,0.0,10,0.0069700775793928305,0.0002837756508875522,0.005571103771977004
33,131,0.0,0.1,10,0.008243579152038882,0.0005274910307726566,0.006688518225265394
33,131,0.0,0.2,12,0.009390150009586429,0.0005274910307726566,0.007807257900163567
33,131,0.1,0.0,0,0.0,0.0002837756508875522,0.0
33,131,0.1,0.1,2,0.0011331376393962644,0.0005274910307726566,0.0
33,131,0.1,0.2,4,0.002250894808001336,0.0005274910307726566,0.0009784208749533674
33,131,0.2,0.0,0,0.0,0.00028377565088755555,0.0
33,131,0.2,0.1,0,0.0,0.0005274910307726532,0.0
33,131,0.2,0.2,0,0.0,0.0005274910307726532,0.0
33,133,0.0,0.0,21,0.04968447547526933,0.0006887679490457066,0.04530536210275449
33,133,0.0,0.1,21,0.05187279445802995,0.0005274910307726566,0.04757321144405302
33,133,0.0,0.2,21,0.054146357409151524,0.0005274910307726566,0.0498467743951746
33,133,0.1,0.0,21,0.0365310164644973,0.0006887679490457066,0.03309028351061005
