method,variant,feeder,scenario_id,branch_count,drop_rmse,drop_mae,drop_max_abs,scenario_violation_any,realized_severity
Boosting point + global conformal,global,69,40,68,0.00025364981185359357,0.0001664269236227349,0.0008806077044479499,True,0.03439220500946283
Boosting point + global conformal,global,69,42,68,0.00045755071632349215,0.00026315954639835143,0.001998020545071756,True,0.11874653214483843
Boosting point + global conformal,global,69,50,68,0.000248612769505552,0.00016129997131730074,0.000934073685389409,True,0.003818159569864088
Boosting point + global conformal,global,69,73,68,0.0005441776793765326,0.00029235081458439856,0.0019869674160326355,True,0.11996995036435765
Boosting point + global conformal,global,69,84,68,0.0005137555679085431,0.00027254961231136255,0.002041667678929102,True,0.1413087571672499
Boosting point + global conformal,global,69,88,68,0.00031637306467492124,0.00019465049955468428,0.0011662827704512352,True,0.026539023910398418
Boosting point + global conformal,global,69,99,68,0.00037780797812873005,0.0002392100039135497,0.0013516916806639346,False,0.0
Boosting point + global conformal,global,69,101,68,0.0009584639338296071,0.0005157562308401913,0.00528040856504464,True,0.0068982969572077835
Boosting point + global conformal,global,69,102,68,0.0006545798682602186,0.0003413105025953217,0.003721364345198777,True,0.3242800071876122
Boosting point + global conformal,global,69,108,68,0.00042610072925902643,0.00024297218257623114,0.0021269163292580917,True,0.15103793248057507
Boosting point + global conformal,global,69,116,68,0.0008175440398909496,0.00042947856636756077,0.003377059970876964,True,0.4652834274306893
Boosting point + global conformal,global,69,118,68,0.0003518696193027459,0.00021306546066942632,0.001399887465398441,True,0.106198532215391
Boosting point + global conformal,global,69,120,68,0.0003236806978862972,0.0002109391210859119,0.0011508149511344117,False,0.0
Boosting point + global conformal,global,69,122,68,0.00027333163770574984,0.0001733761274243353,0.0008465420848026037,False,0.0
Boosting point + global conformal,global,69,126,68,0.0003607399161993096,0.0002275470957107458,0.001208171239611958,True,0.1636637428515474
Boosting point + global conformal,global,69,127,68,0.0007619395677187847,0.0003949241464691177,0.0036503794961283142,True,0.29078567823763257
Boosting point + global conformal,global,69,133,68,0.00037878786999814054,0.0002474937307322216,0.0011567754218842798,True,0.04090512179969996
Boosting point + global conformal,global,69,136,68,0.0007370911566967168,0.00038647856437332135,0.00339978361868978,True,0.36592531019642094
Boosting point + global conformal,global,69,144,68,0.000897525644065804,0.0004254434757592447,0.0038543634386742544,True,0.35760564040672227
Boosting point + global conformal,global,69,147,68,0.0005425658778580993,0.0002805988247357489,0.0026777949673054474,True,0.1579988535799246
Boosting point + global conformal,global,69,156,68,0.000269283557824738,0.00016474910613666614,0.0009649990685021365,True,0.013965017705318217
Boosting point + global conformal,global,69,158,68,0.000442825341622013,0.0002219779344915919,0.0020912528477564107,True,0.12002150866071404
Boosting point + global conformal,global,69,164,68,0.0003760432907034051,0.00021567697290357214,0.0018412568327940085,True,0.1689511675724642
Boosting point + global conformal,global,69,168,68,0.0015037609586764083,0.0005772376976121504,0.009895514788361526,True,0.42852341633407565
Boosting point + global conformal,global,69,194,68,0.0003403464473046956,0.00021433030423386945,0.0014679019373143181,True,0.02661956911022323
Boosting point + global conformal,global,69,197,68,0.00038014291489993124,0.0001971187346106797,0.001642168134668373,True,0.0692386456261026
Boosting point + global conformal,global,69,200,68,0.00031319042401102505,0.00019475727065628012,0.0012806823382198844,True,0.022129077719464152
Boosting point + global conformal,global,69,201,68,0.0005010465003465143,0.00031647648453893686,0.002056102163465187,True,0.00578595012346661
Boosting point + global conformal,global,69,205,68,0.0009787483871791858,0.0004200392511680102,0.0047137567473032865,True,0.33173031461161795
Boosting point + global conformal,global,69,206,68,0.0003125952093344621,0.0001745992704518259,0.0016083524042286093,True,0.02942141945579002
Boosting point + global conformal,global,69,209,68,0.0005033327554624056,0.0003086562646047061,0.002031717203613198,True,0.2558976219068452
Boosting point + global conformal,global,69,210,68,0.0005484646219734912,0.000304863490964373,0.0023080275771524446,True,0.20959447216329663
Boosting point + global conformal,global,69,214,68,0.00026259733761845055,0.00017860558141074006,0.0008082779254460493,False,0.0
Boosting point + global conformal,global,69,218,68,0.000261832306983216,0.00016140114779104926,0.0008679966730987279,True,0.03032056242407355
Boosting point + global conformal,global,69,230,68,0.00026697227328173874,0.00017320110554462677,0.000808794187894462,False,0.0
Boosting point + global conformal,global,69,235,68,0.0002418245536706223,0.00016558785638859193,0.000746969033137708,True,0.051344553126756676
Boosting point + global conformal,global,69,244,68,0.00037037434914684726,0.0001975561362922225,0.0015643535315003135,True,0.13020537158667067
Boosting point + global conformal,global,69,251,68,0.0006352130445403883,0.00037593751445937307,0.002815403075863772,True,0.2500513958855004
Boosting point + global conformal,global,69,254,68,0.000906026935212736,0.00047550415063243336,0.004626958535155781,True,0.46475835982333846
Boosting point + global conformal,global,69,257,68,0.0003231905489564534,0.0002201794315574273,0.0011801716452364854,True,0.013056100181927377
Boosting point + global conformal,global,69,268,68,0.00084637266802303,0.0004334322549639218,0.0048606652751886775,True,0.33471763699583457
Boosting point + global conformal,global,69,269,68,0.0005612262006931887,0.0003236862840565564,0.002178549761022358,True,0.3246257772611043
Boosting point + global conformal,global,69,272,68,0.0005331735376225333,0.00032332391995951404,0.002061119207918693,True,0.3464515547046978
Boosting point + global conformal,global,69,275,68,0.00025657717101624323,0.00015924580161972698,0.0011726195499410594,True,0.0047088026040568165
