split_name,seed,method,conformal_variant,mae,rmse,max_abs_error,coverage,avg_width,precision,recall,f1,false_alarm_rate,missed_violations
pv_penetration_shift,7,VoltGuard topology-aware residual,topology_pv_loading_conditioned,0.00031091905565998047,0.0006185471413133229,0.0053461275545356735,0.7694880744618965,0.0008073615770040739,0.9809885931558935,0.9980657640232108,0.9894534995206136,0.0015725743041358703,1
pv_penetration_shift,7,VoltGuard topology-aware residual,topology_pv_loading_no_shrinkage,0.00031091905565998047,0.0006185471413133229,0.0053461275545356735,0.7694880744618965,0.0008073615770040739,0.9809885931558935,0.9980657640232108,0.9894534995206136,0.0015725743041358703,1
topology_heldout_33_to_69,7,LinDistFlow physical backbone,none,0.0009192368985916918,0.001506780405705924,0.007279075935570312,,,1.0,0.9429477020602218,0.9706362153344209,0.0,72
topology_heldout_33_to_69,7,Random forest,none,0.0005014144974446068,0.0009278921373272754,0.018414055837811527,,,1.0,0.9857369255150554,0.9928172386272945,0.0,18
topology_heldout_33_to_69,7,Gradient boosting,none,0.0006133109131009792,0.0012270893807208238,0.02116059625843414,,,1.0,0.9896988906497622,0.9948227797690163,0.0,13
topology_heldout_33_to_69,7,Boosting point + global conformal,global,0.0006133109131009792,0.0012270893807208238,0.02116059625843414,0.9087761674718197,0.002860274267165755,0.984399375975039,1.0,0.9921383647798742,0.001792435920415845,0
topology_heldout_33_to_69,7,VoltGuard topology-aware residual,global,0.0004541669023898972,0.0006581546621348428,0.0036601248648244766,0.9177133655394525,0.0021728434230643165,0.99057344854674,0.9992076069730587,0.9948717948717949,0.0010754615522495072,1
topology_heldout_33_to_69,7,VoltGuard topology-aware residual,pv_conditioned,0.0004541669023898972,0.0006581546621348428,0.0036601248648244766,0.9089371980676328,0.002160200049109557,0.992918961447679,1.0,0.9964469009080142,0.0008065961641871303,0
topology_heldout_33_to_69,7,VoltGuard topology-aware residual,topology_conditioned,0.0004541669023898972,0.0006581546621348428,0.0036601248648244766,0.9177133655394525,0.0021728434230643165,0.99057344854674,0.9992076069730587,0.9948717948717949,0.0010754615522495072,1
topology_heldout_33_to_69,7,VoltGuard topology-aware residual,topology_pv_loading_conditioned,0.0004541669023898972,0.0006581546621348428,0.0036601248648244766,0.9055555555555556,0.0019759725951134987,0.9960536700868192,1.0,0.9980229339659945,0.0004481089801039613,0
topology_heldout_33_to_69,7,VoltGuard topology-aware residual,topology_pv_loading_no_shrinkage,0.0004541669023898972,0.0006581546621348428,0.0036601248648244766,0.899194847020934,0.001956082748389469,0.9960536700868192,1.0,0.9980229339659945,0.0004481089801039613,0
random_interpolation,17,LinDistFlow physical backbone,none,0.001022158326474475,0.0015353156714487282,0.006970351240984662,,,1.0,0.9337899543378996,0.9657615112160567,0.0,58
random_interpolation,17,Random forest,none,0.00017751038609868026,0.00034056831876953136,0.004517619557693475,,,0.9977037887485649,0.9920091324200914,0.994848311390956,0.00038138825324180017,7
random_interpolation,17,Gradient boosting,none,0.00037790748629840885,0.0008440896561010958,0.012602861926309439,,,1.0,0.9897260273972602,0.9948364888123924,0.0,9
random_interpolation,17,Boosting point + global conformal,global,0.00037790748629840885,0.0008440896561010958,0.012602861926309439,0.8955882352941177,0.0013510157269576092,0.9931895573212258,0.9988584474885844,0.9960159362549801,0.0011441647597254005,1
random_interpolation,17,VoltGuard topology-aware residual,global,0.000101832789539387,0.00019641174472963347,0.0025977541827689743,0.8952614379084968,0.0005194154206031609,0.9864864864864865,1.0,0.9931972789115646,0.002288329519450801,0
random_interpolation,17,VoltGuard topology-aware residual,pv_conditioned,0.000101832789539387,0.00019641174472963347,0.0025977541827689743,0.9083333333333333,0.0005283151960645901,0.9853768278965129,1.0,0.9926345609065156,0.002479023646071701,0
random_interpolation,17,VoltGuard topology-aware residual,topology_conditioned,0.000101832789539387,0.00019641174472963347,0.0025977541827689743,0.8905228758169934,0.0005045303703542082,0.9842696629213483,1.0,0.9920724801812004,0.002669717772692601,0
random_interpolation,17,VoltGuard topology-aware residual,topology_pv_loading_conditioned,0.000101832789539387,0.00019641174472963347,0.0025977541827689743,0.9022875816993464,0.0005007196121565863,0.9853768278965129,1.0,0.9926345609065156,0.002479023646071701,0
